"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Club Atlanta Baths","151 Spring Street I","Atlanta",NA,"MA","USA"
"Club South Baths","76 4th St","Atlanta","NW BDI","MA","USA"
"European Health Spa Baths","3517 Northside","Atlanta",NA,"MA","USA"
"Pkwy","Dr","Atlanta","NW I","MA","USA"
"Atlanta a",NA,"Atlanta",NA,"MA","USA"
"ARNORY","826 Juaipenceumee 074-77 -2- Mon/Fri 4","Atlanta",NA,"MA","USA"
"**#4pom-2am","3at 1l2pm-2am","Atlanta","GM a","MA","USA"
"Blue Room","86 Cain St","Atlanta","NW DI .","MA","USA"
"Cameo","188 Williams at Cain NW DI a","Atlanta",NA,"MA","USA"
"Cove","586 Worchester Drive BDI a","Atlanta",NA,"MA","USA"
"Dupre's Tavern","716 Ponce De Leon NE DI 7","Atlanta",NA,"MA","USA"
"El Matador","Piedmont at Monroe D 3","Atlanta",NA,"MA","USA"
"Esperando","49 6th St","Atlanta","i","MA","USA"
"Gene & Gabe's","1578 Piedmont Ave","Atlanta","NE DI a","MA","USA"
"Hyatt House","1630 Peachtree St","Atlanta","D 4","MA","USA"
"International House of Pancakes","1516 Pied- 4","Atlanta",NA,"MA","USA"
"mont Ave","NE D |","Atlanta",NA,"MA","USA"
"Mama Mia's","1037 Peachtree St","Atlanta","B .","MA","USA"
"Melodie Lounge","355% Peachtree St","Atlanta","NE a **4","MA","USA"
"Mrs","P's Rest.","Atlanta","551 Ponce de Leon NE Spr’ * 7a","MA","USA"
"My House","774 W","Atlanta","Peachtree St.NE + @","MA","USA"
"Onyx","339 Peachtree St","Atlanta","NE sprog","MA","USA"
"Peaches' Back Door","854 Peachtree St","Atlanta","NE pe Ss","MA","USA"
"Picadilly","1139 Peachtree St","Atlanta","ep’ *4","MA","USA"
"PRINCE GEORGE INN","114 6th St","876-9173","NE","MA","USA"
"***Mon/Fri llam-2am","Sat 6pm-2am","Ent","Food","MA","USA"
"""Gay & straight days","gay at night","Atlanta","Coat i]","MA","USA"
"& tie ","* «7","Atlanta",NA,"MA","USA"
"Sweet Gum Head","2284 Cheshirebridge R4.NE BD","Atlanta",NA,"MA","USA"
"Decatur",NA,"Atlanta",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH OF ATLANTA","52/7","Atlanta",NA,"MA","USA"
"***N","McDonough St","° Sun 2pm;","404-378-6736","MA","USA"
"Wed 7.30pm","Choir Practice Fri 9pm","Atlanta","""We","MA","USA"
"offer a total life of spiritual growth,so-Cial fellowship & Christian service.""",NA,"Atlanta",NA,"MA","USA"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Daughters of Bilitis","1620 Hollywood Rd","Atlanta","NW","MA","USA"
"GLF","Box 7847","Atlanta","‘Station’ Cs 30329","MA","USA"
"Lesbianfeminist Alliance","1190 Mansfield Ave.","Atlanta",NA,"MA","USA"
"NE","404-524-3192","Atlanta",NA,"MA","USA"
"SOUTHEASTERN GAY COALITION","Box 7974","Atlanta","30309","MA","USA"
"***pues $6 yr","Pub","""Coalition of","Newsletter","MA","USA"
"Gay Liberation groups and interested indi-viduale in MG","DG","Va","Wiva","MA","USA"
"Fla","Ala","Tenn","Miss","MA","USA"
"conference","quarterly workshops","Atlanta","and other","MA","USA"
"as scheduled by caucuses.”",NA,"Atlanta",NA,"MA","USA"
"—— GEORGIA",NA,"Atlanta",NA,"MA","USA"
"| Atlanta",NA,"Atlanta",NA,"MA","USA"
"Gay Paree Cinema","90 Walton St","Atlanta","NW","MA","USA"
"Wits End","60 5th St","Atlanta","NW","MA","USA"
"GEORGIA",NA,"Atlanta",NA,"MA","USA"
"Atlanta",NA,"Atlanta",NA,"MA","USA"
"Great Speckled Bird","Box 7847","Atlanta","30309","MA","USA"
"RAINBOW","28% 13th St","Atlanta","NE","MA","USA"
"Sojourner Truth Press","81 llth St","Atlanta","NE","MA","USA"
"SOUTHEASTERN GAY COALITION Newsletter (see",NA,"Atlanta",NA,"MA","USA"
"***Part IV)","monthly","Atlanta","free to members.","MA","USA"
