"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Cimh","Patins ","DC","20 °0-.St.) SE BDI","MA","USA"
"Regency","Ratings","Sti","41.3) Bi","MA","USA"
"EE DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"a parn","(upstairs)","DC","305 9th NW B","MA","USA"
"P Pareoii's Tavern","510 9th","DC","St.Nw BDI","MA","USA"
"a Club Applause","1214 Conn Ave","DC","NW B","MA","USA"
" -pollie's","1215 New York Ave.NW a BDL","DC",NA,"MA","USA"
"-—s«BAGLE","904 9th St.NW 347-6025","7pm-a *#** 3am","Mon/Fri","MA","USA"
"e.","bar","DC","Leather & Western attire preferred.”","MA","USA"
"ee 1832 Restaurant","1832 Columbia Rd.NW","B/R","483-_ — ##*0814","MA","USA"
"Five Reasons","1720 H St.NW B","DC",NA,"MA","USA"
"«Georgetown Grill","1329 Wisconsin Ave.NW BDI","DC",NA,"MA","USA"
"_ -Hideaway/Lou's Hideaway","Barfly gives 821 :","DC",NA,"MA","USA"
"_ —-s Market Space NW","Damron gives 9th & Penn;","DC",NA,"MA","USA"
"_-—-s«Insider gives 821 Pennsylvania NW.",NA,"DC",NA,"MA","USA"
"_ Joanna's","8th & E Sts","DC","SE 5","MA","USA"
"_ Johnnie's","8th & E Sts","DC","NE B","MA","USA"
"_ Life Raft","639 Pennsylvania Ave","DC","SE BDI","MA","USA"
"_ Lost & Found","56 L St","DC","3 BDI","MA","USA"
"_ Louie's Spartan Lounge","305 9th NW BDI","DC",NA,"MA","USA"
"_ Mr","Henry's","NW and","1225 Wisconsin Ave","MA","USA"
"601 Pennsylvania Ave","SE Bpt","DC",NA,"MA","USA"
"‘Naples Cafe","1227 New York Ave.NW BDI","DC",NA,"MA","USA"
"Paramount Steak House","1519 17th St","DC","NW and","MA","USA"
"a8 422"" Wisconsin Ave","NW D","DC",NA,"MA","USA"
"Phase III","525 8th St.NE BD","DC",NA,"MA","USA"
"Pier Nine Rest.","1824 Half St.SW BDI","DC",NA,"MA","USA"
"Plus One","529 8th St SE _ BDI","DC",NA,"MA","USA"
"Statler Hilton Hotel Bar","16th & K St.NW DI","DC",NA,"MA","USA"
"THIRD WORLD DEN","221 Riggs Rd .NEB 529-9602","DC",NA,"MA","USA"
"***#Restaurant 6-10","Bar 10-2","DC","Min $1.Dncg.GPM","MA","USA"
"""This is the only Black-owned gay bar in",NA,"DC",NA,"MA","USA"
"D.C","Plenty of parking","DC","Located in quiet","MA","USA"
"Bese to rough trade desired.""",NA,"DC",NA,"MA","USA"
"rigs House ‘Rest","‘& Lounge","DC","(506 8th St.SE D","MA","USA"
"sR Se ens aan rl",NA,"DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"Chapel of St","Francis & St","1620 N","John","MA","USA"
"NW",NA,"DC",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH OF WASHINGTON,",NA,"DC",NA,"MA","USA"
"***705 7th St","SE.- 202-547-2773","&","Sun 3pm","MA","USA"
"other programs as posted","Pub","""We will ‘soon be","Metropolit-an with Gay Christian","MA","USA"
"involved in a special program for blind,",NA,"DC",NA,"MA","USA"
"deaf and other handicapped Gays","We are","DC",NA,"MA","USA"
"forming couples club) youth program.""",NA,"DC",NA,"MA","USA"
"Georgetown",NA,"DC",NA,"MA","USA"
"THE PEOPLE'S’ PARTY","1005' Jilst","NW 202-***338-1900","St","MA","USA"
"People's Party","Peace & Freedom Party","DC","New","MA","USA"
"Party","D.C","Human Rights","Statehood Party","MA","USA"
"Party","Gay caucus","DC","strong Gay Lib plat€m.","MA","USA"
"National Secretary & many local officers",NA,"DC",NA,"MA","USA"
"are gay.""",NA,"DC",NA,"MA","USA"
"Washington",NA,"DC",NA,"MA","USA"
"GAA","Box 2554","DC","20013 202-462-8729","MA","USA"
"Gay People's Alliance","427 Marvin Ctr.","DC","800","MA","USA"
"21st St","NW","DC","202-678-7378","MA","USA"
"GAY SWITCHBOARD","1724 20th St","10am-mdnt","NW 202-387-***£3777","MA","USA"
"aid","counseling","DC","gay events listing.”","MA","USA"
"Gay Teachers Caucus","Nat","Assn.","Ed","MA","USA"
"Acanfora","1915 Kolorama Rd","234-6048","NW","MA","USA"
"MATTACHINE SOCIETY OF WASHINGTON","Box 1032;","DC",NA,"MA","USA"
"**#*20013","202-363-3881","information","“We are a long-esta-blished civil liberties","MA","USA"
"supply public speakers","Special areas of","DC",NA,"MA","USA"
"expertise","Federal Govt","security","vs Gays","MA","USA"
"clearances","Civil Service employment","DC","the","MA","USA"
"Armed Services.”",NA,"DC",NA,"MA","USA"
"National Gay Student Center","2115 S_ St","DC","NW","MA","USA"
"202-387-5100",NA,"DC",NA,"MA","USA"
"People’s Party Gay Caucus","1404 M St","DC","NW","MA","USA"
"Skyline Faggots Collective","1614 So Se","DC","NW","MA","USA"
"Washington Feminists","c/o Rita Mae Brown","DC","217","MA","USA"
"Tid eeh 64","SE","DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"EARTHWORKS","1724 20th St","Mon/","NW 387-6688","MA","USA"
"***Fyri lOam-8pm","Sat till 6am","DC","""Gay Liberat=-ion literature."" (see also HEAD SHOPS)","MA","USA"
"Garden of Eden Books,1l1l12 H","St","DC","NW","MA","USA"
"Mark 7 Books","22227 St","DC","oNW","MA","USA"
"R & M Book Shop","1812 Adams Mill Rd.","DC",NA,"MA","USA"
"Village Books","928 14th St.","DC",NA,"MA","USA"
"Village Books","819 13th St.","DC",NA,"MA","USA"
"DISTRICT OF COLUMBIA",NA,"DC",NA,"MA","USA"
"EARTH WORKS","1724 20th St","Mon/","NW 387-6688","MA","USA"
"ee#*Ey ji LOam-Spm","Sat till 6am","gay buttons & jewelry.Com-plete line of pipes","""Gay Liberat-ion literature","MA","USA"
