"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"Denver",NA,"Denver",NA,"MA","USA"
"Club Baths of Denver","1359 Court Place BI","Denver",NA,"MA","USA"
"Snow Palace","1359 Court Place B","Denver",NA,"MA","USA"
"Zuni Baths","2935 Zuni BIL","Denver",NA,"MA","USA"
"Denver |",NA,"Denver",NA,"MA","USA"
"Alley Oops","1540 Welton B","Denver",NA,"MA","USA"
"Apartment","20th & Lincoln B :","Denver",NA,"MA","USA"
"Court Jester Lounge","1617 Court Place BDI ,","Denver",NA,"MA","USA"
"Denny's","16th & Federal D","Denver",NA,"MA","USA"
"Don's Alley","1540 Welton B","Denver",NA,"MA","USA"
"Hedda's","1541 Welton B","Denver",NA,"MA","USA"
"Highland","2532 15th B","Denver",NA,"MA","USA"
"My Place Lounge","1540 Welton I","Denver",NA,"MA","USA"
"Other Door Lounge","1512 Broadway Ave","Denver","BDI","MA","USA"
"OouR-Den","5110 W","Denver","Colfax BDI","MA","USA"
"Pine Junction Cafe","W","Denver","Hwy 285 B","MA","USA"
"Pirate's Den","1705 Federal Blvd","Denver","BDI","MA","USA"
"Purple Onion","616 19th B","Denver",NA,"MA","USA"
"Rocky Mountain — BDI",NA,"Denver",NA,"MA","USA"
"Side By Side Club","1942 Broadway BDI","Denver",NA,"MA","USA"
"Triangle Lounge","2470 Broadway BD","Denver",NA,"MA","USA"
"Turk's","43rd & Fox D","Denver",NA,"MA","USA"
"White Spot","Colfax & Pear] D","Denver",NA,"MA","USA"
"Zacharie's","1805 Broadway B","Denver",NA,"MA","USA"
"Zuni",".2935 «Zuni :","Denver",NA,"MA","USA"
"' Denver",NA,"Denver",NA,"MA","USA"
"Catholic Life Church","c/o Mark Harding","Denver","2257","MA","USA"
"W","32nd Ave","Denver","ras","MA","USA"
"Church of the Holy Sepulchre","Box 18554;80218","Denver",NA,"MA","USA"
"HOMOSEXUAL CHURCH OF THE UNIVERSE","1331 Down-Seeing St.) Apts 1023) 303-5 73-1000","3pm-4pm","Sun","MA","USA"
"non-faiths","it demands complete acceptance","Denver",NA,"MA","USA"
"of the homosexual feeling","disregarding","Denver",NA,"MA","USA"
"age","race","creed.""","sex","MA","USA"
"Metropolitan Community Church","1400 Lafayette","Denver",NA,"MA","USA"
"St","303-244-1110","Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Daughters of Bilitis","Box 9057","Denver Sta","S","MA","USA"
"80209 (2?",NA,"Denver",NA,"MA","USA"
"Gay Women in Denver","1063 Downing St","Denver","Gz","MA","USA"
"Rocky Mountain Gay Activist Inst.","Box 18641;","Denver",NA,"MA","USA"
"80206 303-825-5925",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Ace Books and Arcade","920 18th St.","Denver",NA,"MA","USA"
"Bachelor's Library","826 15th St.","Denver",NA,"MA","USA"
"La Parisienne","733 E","Denver","Colfax Ave.","MA","USA"
"Sun Dial Distributors","250 Yuma St.","Denver",NA,"MA","USA"
"COLORADO |",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"Baron","2054 Broadway","Denver",NA,"MA","USA"
"Hayloft","11 S","Denver","Broadway","MA","USA"
"COLORADO",NA,"Denver",NA,"MA","USA"
"Denver",NA,"Denver",NA,"MA","USA"
"FAR OUT DOGS","c/o Gayellowpages","N.Y","Box 292","MA","USA"
"***10014","If over 21","Denver","send $1 for brochure to","MA","USA"
"find out about these amazing pets (refund-able with purchase)","We will forward re-quests unopened","Denver","and accept no further re-sponsibility!","MA","USA"
