"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"Houston",NA,"Houston",NA,"MA","USA"
"Mr","Frizby Baths","BDI","3401 Milam St","MA","USA"
"Woodrow Hotel","1412 Fannin St","Houston","DI","MA","USA"
"Ilouston",NA,"Houston",NA,"MA","USA"
"Athens","8037 Clinton Dr","Houston","D","MA","USA"
"Bama Ballroom","2020 Kipling B","Houston",NA,"MA","USA"
"Brazos Bar","2400 Brazos D","Houston",NA,"MA","USA"
"Briar Patch","Greenbriar at McClendon I","Houston",NA,"MA","USA"
"Cabaret Theater Club","218 Main B","Houston",NA,"MA","USA"
"Club 11-13","3406 Mornigside B","Houston",NA,"MA","USA"
"Cobra Club","905 Woodrow | BDI","Houston",NA,"MA","USA"
"Entree","1322 Westheimer BI","Houston",NA,"MA","USA"
"Excadlhe/ 40s)","Bie ld -Sit.","Houston","BDI","MA","USA"
"Farm","3535 Westheimer BDI","Houston",NA,"MA","USA"
"Galleon","2720 Richmond Ave","Houston","BDI","MA","USA"
"Gay Boy","2151 Richmond B","Houston",NA,"MA","USA"
"Glass Stein","3207 Montrose Ave","Houston","BI","MA","USA"
"Gold Room","2802 Austin St","Houston","BDI","MA","USA"
"Hi Kamp Klub","3400 Travis St","Houston","BDI","MA","USA"
"La Boheme","1504 Westheimer BDI","Houston",NA,"MA","USA"
"La Ca dia ","1104 Tuam St","Houston","BDI","MA","USA"
"La Carafe","813 Congress D","Houston",NA,"MA","USA"
"Lena's Lounge","300 Tuam D","Houston",NA,"MA","USA"
"Les Quatre Saisons","316 Milam D","Houston",NA,"MA","USA"
"Mary's","1022 Westheimer St","Houston","BDI","MA","USA"
"Midtown Lounge","2369 Main D","Houston",NA,"MA","USA"
"or Mid Towne","2923 Main B","Houston",NA,"MA","USA"
"New Image","1904 S","Houston","Shepherd D","MA","USA"
"Nine Hundred","900 Lovett Alley BDI","Houston",NA,"MA","USA"
"Numbers","1005 California St","Houston","BD","MA","USA"
"Palace","3400 Montrose BDI","Houston",NA,"MA","USA"
"Pink Elephant","1218 Leland BDI","Houston",NA,"MA","USA"
"Red Room","612 Hadley BDI","Houston",NA,"MA","USA"
"Roaring Sixties","2305 S","Houston","Shepherd BDI","MA","USA"
"Roundtable","507 Westheimer BDI","Houston",NA,"MA","USA"
"San Angel Rest.","1534 Westheimer = I","Houston",NA,"MA","USA"
"St","Michel Rest.","I","2150 Richmond Ave","MA","USA"
"Scene 1","1904 S","Houston","Shepherd B","MA","USA"
"Silver Dollar Rest.","616 Westheimer DI","Houston",NA,"MA","USA"
"TEXAS","(eont.)","Houston",NA,"MA","USA"
"Simpson's Diner","1413,Main","Houston",NA,"MA","USA"
"Surf Lounge","2909 Main","Houston",NA,"MA","USA"
"Yradewinds Lounge","706 Elgin :","Houston",NA,"MA","USA"
"Houston és",NA,"Houston",NA,"MA","USA"
"Gay Liberation","U","Box 65","of Houston","MA","USA"
"Center","77004 a","Houston",NA,"MA","USA"
"Gay Political Committee","Box 53221","Houston","77052 cau","MA","USA"
"Gay Women's Liberation","c/o Space City","Houston","1217 ©","MA","USA"
"Wichita (2 s",NA,"Houston",NA,"MA","USA"
"Integrity","c/o Fr","3600 Travis 3","Mark Barron","MA","USA"
"Montrose Gaze","Community Center","Houston","504 Fairview |","MA","USA"
"Houston",NA,"Houston",NA,"MA","USA"
"Rosalie's Newsstand","1401 Texas Ave.","Houston",NA,"MA","USA"
"Story Book","1312 W","Houston","Alabama St.","MA","USA"
"Saad AiG ay ns apes De","Be","Houston",NA,"MA","USA"
"ee eS he:",NA,"Houston",NA,"MA","USA"
"gaa 4 aS ay eee ae ","PE a Re","Houston",NA,"MA","USA"
"ee ead SE KNG ONS | Waril:",NA,"Houston",NA,"MA","USA"
"% ae ae ae i ","i 1 :","Houston",NA,"MA","USA"
"oe Pam eee Meera By","gee 4 ","Houston","4","MA","USA"
"eae gS ay fe Poaceae 5 we oe Wee te",NA,"Houston",NA,"MA","USA"
"shee 49 pe ¢ lousron’",NA,"Houston",NA,"MA","USA"
"pid ERE Ps DP RAS","ME ed! Solem ER A ;","Houston",NA,"MA","USA"
"‘\ oy ee 7 Inc","T","Houston",NA,"MA","USA"
"SC ee ","Town & Count ,","Houston",NA,"MA","USA"
"3 Sea eee ie Seg cy i n",NA,"Houston",NA,"MA","USA"
"Se Ah Ar ani ® ry Vil l 7",NA,"Houston",NA,"MA","USA"
"Ney ES ig age",NA,"Houston",NA,"MA","USA"
"llouston",NA,"Houston",NA,"MA","USA"
"Min VaPark ear heatne.","(2907) Main St.","Houston",NA,"MA","USA"
"a",NA,"Houston",NA,"MA","USA"
"Houston",NA,"Houston",NA,"MA","USA"
"Nuntius","4615 Mt","Houston","vernon St.","MA","USA"
