"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"Seattle",NA,"Seattle",NA,"MA","USA"
"","——$_—_———","Seattle",NA,"MA","USA"
"Atlas Baths","1318 2nd Ave","Seattle","BDI","MA","USA"
"Dave's Steam Baths","2402 lst Ave","Seattle","' BDI","MA","USA"
"_ Seattle” ™",NA,"Seattle",NA,"MA","USA"
"Blue Moon Tavern","712 NE 45th St","Seattle","Di Be","MA","USA"
"Bonnie's Place","201 S","Seattle","Washington B 4","MA","USA"
"Chicken Coop","411 2nd B a","Seattle",NA,"MA","USA"
"Clark's Around the Clock","1001 Olive Way D a","Seattle",NA,"MA","USA"
"Columbus Tavern","167 S","BI 4","Washington St","MA","USA"
"Doll House Tavern","119 Yesler Way BDI 3","Seattle",NA,"MA","USA"
"Don's Place","610 2nd B a","Seattle",NA,"MA","USA"
"Doubleheader Tavern","407 2nd Ave","Seattle","BDI 7","MA","USA"
"Eleven-Eleven Tavern","1111 Pike St","BDI 4","E","MA","USA"
"Gatsby's","524 2nd","Seattle","B é","MA","USA"
"Golden Horseshoe","207 2nd Ave","BDI 4","S","MA","USA"
"GREEK TORCH","Third & Yesler Way MA2-1181 4","Seattle",NA,"MA","USA"
"***1]2pm-2am","Food","ent","dncg","MA","USA"
"Grubstake Cafe","608% 2nd B 4","Seattle",NA,"MA","USA"
"Mike's Pike Street Tavern","824 Pike BDI s","Seattle",NA,"MA","USA"
"Mocamba Rest","& Lounge","Seattle","203 Yesler Way BDI a","MA","USA"
"MOTHER MORGAN'S GUMBO FACTORY & LIVE-IN RESY-***AURANT","431 15th Ave","(on Capitol Hill) a","E","MA","USA"
"EA5-2400","Mon/Fri lunch 11.30-2.30","Seattle","Mona","MA","USA"
"Sat dinner 5.00-9.00","""We are a vegetarian","Seattle",NA,"MA","USA"
"restaurant serving all home-cooked foods","a","Seattle",NA,"MA","USA"
"we specialize in East Indian and down-home 4",NA,"Seattle",NA,"MA","USA"
"cookery","Our restaurant is a melting pot 4","Seattle",NA,"MA","USA"
"of young","old","male","black white","MA","USA"
"gay","straight","businessmen."" 3","hippie","MA","USA"
"922 Ciubs.","922) hind Ave","Seattle","BDI","MA","USA"
"107 Club","107 Occidental Ave","BDI @","S","MA","USA"
"Regents Roost","1404 7th Buea","Seattle",NA,"MA","USA"
"Silver Slipper","210 S","Boma","Jackson St","MA","USA"
"611 Club","611 2nd Ave","Seattle","BDI","MA","USA"
"614 Club","614 lst Ave","Seattle","BDI* ""a","MA","USA"
"SPAG'S TAVERN","924 Pine St","Seattle","MA3-9612","MA","USA"
"***GPM a",NA,"Seattle",NA,"MA","USA"
"Terrace Room","Olympic Hotel","Seattle","4th & Seneca Digg","MA","USA"
"Thirteen Coins Rest.","125 Boren St","D","N","MA","USA"
"Trojan Shield","111-117 s","Seattle","Occidental Be","MA","USA"
"VICTROLA TAVERN","91 Lower Pike MA4-9314","Seattle",NA,"MA","USA"
"*“**8am-2am","G&S (Victrola's answer to request 4","Seattle",NA,"MA","USA"
"for further information about activities = —",NA,"Seattle",NA,"MA","USA"
"""Not for publication!"") a",NA,"Seattle",NA,"MA","USA"
"Wayne's Deli","217 James » 4","Seattle",NA,"MA","USA"
"Zack's Key","2620 3rd Ave","Seattle","BD","MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"METROPOLITAN COMMUNITY CHURCH","16th & E.John -*#*eeS3t 206-EA5-1872","Wed","Sun 2.30 & 7.30pm","MA","USA"
"Ys3s Oy pm:",NA,"Seattle",NA,"MA","USA"
"LIT CRMN\NIC TRI",NA,"Seattle",NA,"MA","USA"
"be Seattle",NA,"Seattle",NA,"MA","USA"
"4 Counseling Services for Homosexuals","318 Mal-den Ave","206-329-5820","E","MA","USA"
"‘ Gay Community Center","102 Cherry St","623-3862","206-622-ey 9621","MA","USA"
"Gay Community Social Services","206-329-8180","Seattle",NA,"MA","USA"
"Gay Feminists Coalition","206-782-0381","Seattle",NA,"MA","USA"
"ae Gay Men's Collective","Sherwood Forest","Seattle","1402","MA","USA"
"","Harrison Ave","206-329-8180","E","MA","USA"
"","Gay Student Assoc.","HUB FK-10","Bax 112","MA","USA"
"‘ of Washington (?",NA,"Seattle",NA,"MA","USA"
"Gay Student House","1704 12th Ave","Seattle","206-323-s 4570","MA","USA"
"‘ Gay Women's Alliance & Resource Center","4224","Seattle",NA,"MA","USA"
"to University Ave","NE 206-632-4747 Ex 3","Seattle",NA,"MA","USA"
"- Seattle Counseling Service for Homosexuals 6&",NA,"Seattle",NA,"MA","USA"
"ee Sexual Minorities","1720 16th Ave","Seattle","206-329-Pe 8707","MA","USA"
"_ SEATTLE GAY ALLIANCE","Box 1170","Seattle","98111 206-ae Call for details of program,","MA","USA"
"WASHINGTON (cont.) 4",NA,"Seattle",NA,"MA","USA"
"Stonewall","(4127 Dayton Ave","Seattle","w- 206-634-2798 a","MA","USA"
"WHITMAN HOUSE","4016 37th Ave","206-723-9408","S","MA","USA"
"***Residential Treatment Center Halfway House",NA,"Seattle",NA,"MA","USA"
"for parolees & probationers","""90-day re-entry for ex-offenders & probationers.Also","Seattle",NA,"MA","USA"
"parole programs for inmates in other sta-tes who wish to parole to Washington","they","Seattle",NA,"MA","USA"
"must contact us for application","Group and","Seattle",NA,"MA","USA"
"individual cnslg","job development.""","Seattle",NA,"MA","USA"
"WASILINGTON",NA,"Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"Adult Book Store","1415 1st Ave.","Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"Sultan's Cinema","1313 lst.","Seattle",NA,"MA","USA"
"MUSIC SERVICES * MUSIC SERVICES * MUSIC SERVI",NA,"Seattle",NA,"MA","USA"
"2 ah aby By he ak a a a eb hs es a a a a ee ek a i a ae ee ee cl ae in a ee re Be ae ke",NA,"Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"","ASTOUNDING TRANSVESTITE TALES (see EMPATHY)S$3","Seattle",NA,"MA","USA"
"Columns Northwest","Box 99002","Seattle","98199","MA","USA"
"EMPATHY PRESS","Box 12466","Seattle","98111 206-623-3505","MA","USA"
"***Transvestite publications.",NA,"Seattle",NA,"MA","USA"
"TRANSVESTITE WORLD DIRECTORY (see EMPATHY) S3",NA,"Seattle",NA,"MA","USA"
"WHITMAN House Newsletter (see Part IV).",NA,"Seattle",NA,"MA","USA"
"kee",NA,"Seattle",NA,"MA","USA"
